43	169	Crash Test Dummies do Sin 7	Mixed	19:24:20	1:44:35	4:16:43	8:39:13	13:10:57	16:05:46	17:28:08	19:24:20
44	35	Friends with Benefits	Mixed	19:27:39	2:09:33	4:34:51	8:28:25	13:16:01	16:01:09	17:55:03	19:27:39
45	54	Allwest Recycled Runners	Mixed	19:30:14	1:53:49	3:46:42	7:25:41	11:30:22	14:44:33	16:00:30	19:30:14
46	105	Run (through the) Forest, Run!	Mixed	19:31:45	1:37:39	3:41:44	8:00:44	12:09:13	15:46:12	17:45:52	19:31:45
47	122	Rauschning	Mixed	19:35:58	1:56:33	4:00:46	8:04:21	12:03:21	15:16:13	17:03:19	19:35:58
48	66	Scrambled Legs and Achin'	Mixed	19:42:36	1:33:18	7:57:49	11:56:43	15:34:49	17:15:12	tbv	19:42:36
49	46	Collective Soles	Mixed	19:51:08	1:50:00	4:24:32	9:09:20	13:13:45	16:34:40	18:02:43	19:51:08
50	114	Really Really Ridiculously Good Looking People	Mixed	19:51:41	2:01:27	4:10:07	8:58:15	13:45:05	16:20:43	18:03:38	19:51:41
51	51	Suffering From Insanity	Mixed	19:53:59	1:38:18	4:11:59	9:03:17	13:06:37	16:08:26	17:47:30	19:53:59
52	93	Mountian MAZness	Mixed	19:59:48	1:33:25	3:52:47	8:38:49	12:10:48	15:48:24	17:56:02	19:59:48
53	165	The Couilleys	Mixed	20:00:33	2:09:22	4:18:24	9:20:31	14:06:32	16:54:57	18:17:26	20:00:33
54	189	The Possibilities of 6	Mixed	20:01:30	1:54:07	4:04:04	8:52:49	13:46:45	16:54:55	18:20:33	20:01:30
55	58	Witless Tardy Futile	Mixed	20:03:26	2:01:48	4:25:45	9:09:27	13:43:10	16:38:42	18:09:55	20:03:26
56	199	Seven Sinister Survivors	Mixed	20:05:26	1:58:14	5:30:43	10:01:33	13:55:14	16:55:09	18:34:33	20:05:26
57	89	Mister's, blisters & one sister	Mixed	20:05:30	1:38:03	4:03:40	8:32:28	12:55:02	15:54:34	17:36:48	20:05:30
58	161	SS	Mixed	20:08:27	1:23:10	3:20:40	9:06:47	13:21:05	16:28:42	18:22:00	20:08:27
59	94	SOF EDM Platoon 1	Mixed	20:09:51	2:29:14	4:40:33	9:07:02	13:45:28	16:49:54	18:28:33	20:09:51
